doctor_id,name,last_name,specialization,phone,email
1,Khoa Lê,Mai,Tổng quát,+84 87 5538717,buijohn@example.net
2,Quý cô Thảo Mai,Lê,Tim mạch,+84-36-892868,buijohn@example.org
3,Quý ông Huy Bùi,Lê,Cơ xương khớp,+84 86 2094839,nguyenjane@example.org
4,Hưng Phú Vũ,Hoàng,Tổng quát,(05) 9390 0549,buijane@example.com
5,Chị Phương Lê,Nguyễn,Tổng quát,(02)773-8774,johnbui@example.com
6,Phương Mai,Bùi,Nhi khoa,00 8461675,duongjohn@example.net
7,Bảo Hoàng,Đặng,Nội tiết,09 4440 9528,jdang@example.net
8,Anh Anh Dương,Mai,Tổng quát,+84-22-691185,jane70@example.org
9,Hạnh Thị Dương,Nguyễn,Tiết niệu,01 5724 1958,xhoang@example.com
10,Ông Nhiên Phạm,Phạm,Tim mạch,+84 19 1430844,tranjane@example.org
11,An Bùi,Bùi,Tổng quát,+84-40-423092,john24@example.org
12,Quang Vũ,Lê,Mắt,+84 72 7488193,janedang@example.com
13,Bà Khoa Dương,Mai,Tim mạch,04 0093 6417,jane65@example.org
14,Quý cô Hà Bùi,Trần,Cơ xương khớp,+84-08-992032,john16@example.net
15,Thảo Lê,Đặng,Nội tiết,(00)054-6047,phamjohn@example.net
16,Chị Chi Lê,Đặng,Nội tiết,+84 82 0899416,lejane@example.org
17,Quý cô Nhật Phạm,Phạm,Ung bướu,(04) 4989 9029,mle@example.org
18,Trọng Vũ,Dương,Tổng quát,(07) 5359 7737,ohoang@example.net
19,Bảo Lê,Hoàng,Cơ xương khớp,+84-98-550 2421,duongjohn@example.net
20,Quý ông Quang Lê,Trần,Tổng quát,+84-79-327026,janemai@example.net
21,An Hoàng Phạm,Dương,Da liễu,+84-02-584091,kle@example.org
22,Hương Bùi,Trần,Tổng quát,05 3489 2135,vujane@example.org
23,Hoàng Mai,Mai,Tổng quát,02 1430 5337,duongjohn@example.org
24,Cô Vi Dương,Phạm,Mắt,(06)758-8510,ple@example.net
25,Bà Yến Đặng,Lê,Nội tiết,+84-45-108050,janehoang@example.org
26,Quý cô Lâm Mai,Dương,Tim mạch,09 2558082,hoangjohn@example.com
27,Quý cô Thành Nguyễn,Phạm,Tổng quát,+84-84-012 3407,janepham@example.com
28,Quý cô Thảo Nguyễn,Mai,Tổng quát,04 0782 8406,hpham@example.org
29,Bác Hưng Bùi,Đặng,Tổng quát,(09) 9858 7005,johnduong@example.net
30,Bà Chi Trần,Trần,Tổng quát,04 3039582,johntran@example.net
31,An Đức Phạm,Dương,Nhi khoa,+84-97-612 8151,johnmai@example.com
32,Bảo Vũ,Phạm,Nội tiết,(06) 4795 8757,jane64@example.com
33,Bác Tú Phạm,Nguyễn,Cơ xương khớp,05 2525 9571,jane25@example.net
34,Bà Hải Đặng,Đặng,Ung bướu,(09)056-7070,johnvu@example.org
35,Trung Văn Phạm,Mai,Tổng quát,(06) 0002 7129,john30@example.net
36,Hạnh Bùi,Nguyễn,Tim mạch,00 2025241,lejohn@example.net
37,Cô Hồng Đặng,Phạm,Da liễu,(00) 3839 7286,phamjane@example.net
38,Hạnh Vũ,Dương,Tổng quát,+84 64 3114271,ndang@example.com
39,Bà Ngọc Dương,Mai,Tổng quát,+84 19 8976866,vbui@example.org
40,Bác Quang Vũ,Vũ,Sản phụ khoa,08 4360 5804,vujane@example.net
41,Quý cô Ánh Nguyễn,Mai,Tai Mũi Họng,(09)718-6142,janedang@example.com
42,Kim Trí Mai,Dương,Tổng quát,(04)322-7267,john83@example.com
