doctor_id,name,last_name,specialization,phone,email
1,Nhiên Tấn Mai,Hoàng,Tiêu hóa,+84-54-855 7552,duongjane@example.com
2,Chị Yến Phạm,Vũ,Tổng quát,(06) 7611 9264,maijane@example.net
3,Thảo Bùi,Vũ,Tổng quát,+84-15-984 2629,avu@example.com
4,Anh Tú Hoàng,Lê,Nội tiết,(07)500-6025,fvu@example.org
5,Quý cô Dương Mai,Vũ,Tâm thần,(03) 7293 8950,ivu@example.org
6,Quang Tấn Vũ,Đặng,Tim mạch,+84-18-614226,johnbui@example.net
7,Hồng Phạm,Phạm,Tổng quát,+84-77-876175,nguyenjohn@example.com
8,Phương Dương,Phạm,Tim mạch,02 5213 2593,johnhoang@example.net
9,Ông Minh Lê,Hoàng,Tai Mũi Họng,00 2622 2392,john61@example.org
10,Bà Hạnh Dương,Hoàng,Tiêu hóa,(04) 2122 1383,john43@example.com
11,Thành Hoàng Trần,Bùi,Nhi khoa,+84 88 2057118,john01@example.com
12,Chị Nhật Mai,Mai,Mắt,07 8062 1991,lejohn@example.org
13,Ngọc Dương,Đặng,Tổng quát,(01)353-3485,johnbui@example.org
14,Bác Khoa Trần,Nguyễn,Tim mạch,00 8024 0172,duongjohn@example.com
15,Vân Bùi,Đặng,Tiêu hóa,+84-91-695347,vujane@example.net
16,Quý ông Quang Bùi,Trần,Tổng quát,03 2778 3271,dangjane@example.com
17,Chi Hoàng,Vũ,Tổng quát,+84-66-009474,jane59@example.com
18,Thành Hoàng,Phạm,Tổng quát,+84-70-017 7162,johnhoang@example.com
19,Khoa Mai Vũ,Vũ,Hô hấp,01 7991 7472,bhoang@example.org
20,Quang Đặng,Vũ,Miễn dịch,+84 19 1882140,ndang@example.net
21,Khoa Vũ,Đặng,Tâm thần,05 1116361,ehoang@example.org
22,Kim Xuân Hoàng,Vũ,Tổng quát,+84-55-257599,dangjohn@example.net
23,Hưng Nguyễn,Nguyễn,Tổng quát,07 4659 8358,john47@example.com
24,Dương Hoàng,Vũ,Da liễu,+84-32-879512,phamjane@example.com
25,Quý cô Yến Đặng,Lê,Nội tiết,06 8208 1396,john45@example.com
26,Quang Vũ,Dương,Nhi khoa,+84-79-129132,xmai@example.net
27,Quý cô Hồng Nguyễn,Dương,Tổng quát,02 9191 1392,duongjane@example.org
28,Chị Vi Bùi,Nguyễn,Tổng quát,+84-54-092 0472,tranjohn@example.com
29,Quý ông Châu Dương,Trần,Tiêu hóa,(00)695-5302,kvu@example.com
30,Quý cô Lâm Hoàng,Bùi,Tiêu hóa,+84 34 2800092,jane18@example.org
31,Bà Duyên Vũ,Phạm,Tai Mũi Họng,(01) 8383 0370,imai@example.net
32,Chi Dương,Dương,Thần kinh,+84 16 2432841,duongjane@example.net
33,Quý cô Hải Lê,Mai,Cơ xương khớp,+84-74-320448,tranjohn@example.com
34,Anh Trọng Bùi,Bùi,Tổng quát,(02) 7742 9450,johndang@example.com
35,Bảo Mai,Đặng,Tim mạch,09 1371 0653,john10@example.com
36,Lâm Đức Nguyễn,Mai,Chấn thương chỉnh hình,(00)561-6441,lejane@example.com
37,Thành Mai Vũ,Đặng,Tâm thần,08 2851 6236,xvu@example.org
38,Bà Ngọc Hoàng,Đặng,Tổng quát,+84-19-646 4111,maijohn@example.net
39,Bà Vi Vũ,Vũ,Tim mạch,+84-86-946555,janevu@example.net
40,Anh Nhiên Đặng,Trần,Tai Mũi Họng,+84-75-971813,nguyenjohn@example.net
41,Anh Bảo Bùi,Hoàng,Thần kinh,+84 82 9818046,janele@example.net
42,Lâm Lê,Hoàng,Tim mạch,06 7678 7377,pduong@example.org
43,Hải Lê,Vũ,Tổng quát,+84 00 8110642,hoangjane@example.com
44,Chị Ngọc Phạm,Đặng,Miễn dịch,(02) 1478 5922,jane27@example.net
45,Vũ Đức Hoàng,Vũ,Tai Mũi Họng,+84-76-927 0951,jane89@example.net
46,Thành Mai Bảo Mai,Trần,Tai Mũi Họng,03 7140 1247,johnnguyen@example.net
47,Trọng Đức Phạm,Phạm,Nội tiết,01 0198 1659,imai@example.net
48,Thành Bùi,Mai,Tim mạch,06 8676 9502,jane91@example.net
49,Nam Bùi,Trần,Tổng quát,+84-11-983 6314,nguyenjohn@example.com
50,Thành Lê,Mai,Nhi khoa,+84 04 2936764,hoangjane@example.com
51,Bảo Thị Trần,Mai,Nội tiết,06 3451 7716,johnduong@example.net
52,Mai Dương,Hoàng,Tổng quát,+84-53-408 4321,john20@example.com
53,Phương Hải Đặng,Bùi,Tim mạch,+84-50-271 5707,duongjane@example.com
54,Phương Vũ,Nguyễn,Tổng quát,+84 74 8592625,ele@example.com
55,Anh Hoàng Lê,Hoàng,Da liễu,(00)073-5390,janedang@example.net
56,Hoàng Hoàng Dương,Mai,Tiêu hóa,(03)805-4002,johnduong@example.net
57,Quý cô Thảo Đặng,Nguyễn,Nhi khoa,+84-60-904794,fhoang@example.net
58,Chị Phương Nguyễn,Đặng,Tiêu hóa,+84-83-161 2537,vpham@example.net
59,Tú Phạm,Vũ,Sản phụ khoa,+84-15-094 5523,mle@example.org
60,Khoa Nguyễn,Đặng,Cơ xương khớp,(01)801-2739,gtran@example.org
61,Tú Đức Lê,Bùi,Tim mạch,(00) 8033 8520,jane92@example.net
62,Phúc Trí Dương,Bùi,Tai Mũi Họng,+84-12-803298,johnmai@example.org
63,Ông Dũng Hoàng,Dương,Tổng quát,02 3784 6672,janedang@example.org
64,Quý cô Ánh Vũ,Vũ,Tổng quát,07 9868 3517,lejane@example.org
65,Anh Nam Lê,Phạm,Tổng quát,+84-69-316 5802,jane23@example.net
66,Quý ông Dũng Mai,Trần,Mắt,00 7337564,dvu@example.com
67,Quý cô Nhật Lê,Nguyễn,Da liễu,+84-63-747897,xduong@example.com
68,Nhật Dương,Hoàng,Tiết niệu,+84 23 9388569,duongjane@example.org
69,Quý cô Thành Nguyễn,Phạm,Cơ xương khớp,+84-08-720459,janehoang@example.com
70,Bác Quang Phạm,Bùi,Nhi khoa,+84 81 8626519,janeduong@example.org
71,Anh Châu Vũ,Phạm,Nhi khoa,00 3675211,janebui@example.com
72,Ông Vũ Đặng,Đặng,Da liễu,08 1144 1737,ple@example.com
73,Nam Xuân Hoàng,Nguyễn,Nội tiết,+84 68 1880251,jane03@example.com
74,An Hoàng,Đặng,Tim mạch,09 3393126,gtran@example.org
75,Châu Trí Hoàng,Phạm,Hô hấp,08 5243 6793,nguyenjane@example.org
76,Khoa Thị Hoàng,Dương,Sản phụ khoa,+84-60-746 4667,duongjane@example.net
77,Nhiên Mai,Phạm,Tiết niệu,(02) 1847 4503,nguyenjane@example.com
78,Huy Vũ,Nguyễn,Tổng quát,+84 51 8612683,john96@example.com
79,Lan Hoàng,Bùi,Da liễu,+84-69-121038,johndang@example.org
80,Quang Thế Nguyễn,Mai,Tim mạch,05 0645 5128,hoangjohn@example.org
81,Dương Trần,Đặng,Sản phụ khoa,+84-18-462278,yhoang@example.com
82,Hà Hoàng,Đặng,Chấn thương chỉnh hình,05 2678304,duongjane@example.org
83,Khoa Bùi,Bùi,Tổng quát,+84-88-294939,phamjohn@example.com
84,Nhiên Tấn Đặng,Phạm,Tiết niệu,+84-17-301 6682,gnguyen@example.net
85,Kim Dương,Dương,Tổng quát,(01) 6565 0425,janepham@example.com
86,Khoa Xuân Dương,Bùi,Chấn thương chỉnh hình,(08) 5869 2379,janemai@example.org
87,Nhật Dương,Lê,Thần kinh,09 7339297,janedang@example.net
88,Cô Thảo Lê,Vũ,Nhi khoa,+84-93-167367,hoangjohn@example.com
89,Ông Trọng Vũ,Đặng,Tổng quát,(07) 0107 7409,hoangjohn@example.net
90,Chị Chi Mai,Lê,Tai Mũi Họng,+84 25 9722536,vujane@example.com
91,Bà Nhật Mai,Vũ,Da liễu,08 6507221,janeduong@example.com
